Model	Color	Retail_Price($)	Number_of_Sales	Avg_Sale_Price($)	Price_Premium (%)
adidas NMD R1 Duck Camo Core Black	Core Black/Grey Four/Grey Five 	130	367	96	-54
adidas Sobakov Black White Gum	Core Black/Footwear White/Gum 3 	140	365	106	-38
adidas Ultra Boost Uncaged White Tint	Footwear White/White Tint/Core Black 	180	336	104	-52
adidas ACE 16+ Ultra Boost Triple White	Running White/Running White/Running White 	200	326	131	-37
adidas NMD CS2 Core Black Red Solid	Core Black/Red Solid 	180	311	104	-61
adidas EQT Support 93/17 Red Carpet Pack Black	Core Black/Core Black/Core Black 	190	305	109	-76
adidas NMD TS1 Gore-Tex Triple Black	Core Black/Core Black/Core Black 	230	290	193	-27
adidas Solar Hu Glide White	Footwear White/Core Black/Bold Green 	150	266	227	17
adidas Ultra Boost ATR Mid Burgundy	Burgundy/Burgundy/Core Black 	240	261	148	-56
adidas Ultra Boost 4.0 Triple White (W)	Running White/Running White/Running White 	180	261	143	-31
adidas Crazy BYW X Black White	Black/Black/White 	200	227	302	16
adidas Ultra Boost 2.0 White Reflective	White/White 	200	226	218	-1
adidas Falcon White Blue (W)	Cloud White/Cloud White/Blue 	100	192	119	#VALUE!
adidas Ultra Boost 4.0 Core Black (W)	Core Black/Core Black/Core Black 	180	178	135	-30
adidas Yung-1 Cloud White	Running White/Running White/Cloud White 	120	175	126	-8
adidas Ultra Boost 4.0 Parley Running White	Running White/Silver Metallic/Running White 	200	158	137	-25
adidas NMD R1 Sesame Black	Sesame/Sesame/Off White 	140	147	91	-44
adidas Ultra Boost 4.0 Tech Ink	Tech Ink/Cloud White/Vapor Grey 	180	136	128	-33
adidas Ultra Boost Uncaged Grey Two	Grey Two/Grey Two/Grey Four 	180	133	98	-53
adidas Ultra Boost 4.0 White Multi-Color	Cloud White/Cloud White/Collegiate Navy 	180	118	138	-34
adidas Yung-1 Triple Black	Core Black/Core Black/Carbon 	120	95	113	-29
adidas NMD R1 SNS Datamosh 2.0 Blue Night	Core Black/Blue Night/Core Blue 	179	49	188	-22
adidas NMD R1 Clear Pink (W)	Clear Pink/Footwear White/Core Black 	130	46	91	-46
adidas NMD R1 STLT Stealth Pack Core Black	Core Black/Grey Two/Grey Five 	140	44	63	-57
adidas Solar Hu Glide Pharrell Core Black (W)	Core Black/Cloud White/Bright Cyan 	150	26	137	-27
