Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas Yeezy Boost 350 V2 Beluga,Steeple Gray/Beluga/Solar Red ,220,9/24/16,1526,227.30%,829
adidas Ultra Boost 1.0 UNDFTD Black,Core Black/Core Black/Footwear White ,#NUM!,4/14/18,1442,NaN,289
adidas EQT Support 93/17 Triple Black,Core Black/Core Black/Core Black ,180,11/24/17,1437,-36.10%,130
adidas Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool,Chalk White/Footwear White/Chalk White ,200,12/16/17,1431,6.50%,238
adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,Vintage White/Chalk White/Clear Brown ,200,12/20/17,1410,-33.50%,149
adidas NMD R1 Colour Static Rainbow,Core White/Multi-Color ,170,11/11/17,1405,32.40%,184
adidas Ultra Boost Clima Core Black Solar Red,Core Black/Core Black/Solar Red ,220,6/14/18,1402,-29.10%,152
adidas Ultra Boost 4.0 Breast Cancer Awareness,Cloud White/Core Black/Shock Pink ,180,9/1/18,1393,-22.20%,163
adidas NMD Hu Pharrell Solar Pack Orange,White/Black/Orange ,250,8/18/18,1287,-8.00%,273
adidas Ultra Boost 2.0 Multi-Color,White/White/Red ,180,7/27/16,1261,15.00%,243
adidas NMD R1 Tri Color Stripes Black,Core Black/White ,170,12/3/16,1194,17.10%,269
adidas Ultra Boost 4.0 Chinese New Year (2018),Core Black/High Res Red/Grey Five ,180,1/1/18,1176,20.60%,226
