Brand,Model,Color,Retail Price($),Number of Sales,Average Sale Price($),Price Premium(%)
Adidas,Yeezy 500 Super Moon Yellow,Super Moon Yellow/Super Moon Yellow/Super Moon Yellow ,200,10315,253,19
Adidas,Yeezy Boost 350 V2 Zebra,White/Core Black/Red ,220,9949,530,68
Adidas,Yeezy Powerphase Calabasas Core Black,Core Black/Core Black/Core Black ,120,8023,122,-6
Adidas,Yeezy Powerphase Calabasas Grey,Grey/Grey/Grey ,120,7952,159,33
Adidas,Yeezy Boost 350 V2 Semi Frozen Yellow,Semi Frozen Yellow/Raw Steel/Red ,220,5947,637,81
Adidas,Ultra Boost 4.0 Triple Black,Black/Black/Black ,200,4069,220,-10
Adidas,NMD XR1 OG Black,Core Black/Core Black/Footwear White ,150,3922,151,-1
Adidas,Human Race NMD Pharrell Holi Festival (Core Black),Core Black/Deepest Purple/Core Black ,250,3778,412,60
Adidas,Ultra Boost 4.0 Running White,Running White/Running White/Running White ,180,3760,145,-33
Adidas,Human Race NMD Pharrell Holi Festival (Chalk Coral),Chalk Coral/Flash Green-Lab Purple ,250,3688,360,-6
Adidas,Yeezy Powerphase Calabasas Core White,Core White/Core White/Core White ,120,3535,268,92
Adidas,Human Race NMD Pharrell Holi Festival (Pink Glow),Pink Glow/Flash Green/Lab Purple ,250,3347,346,#VALUE!
Adidas,NMD R1 Japan Triple White,Footwear White/Footwear White/Footwear White ,180,2981,171,-28
Adidas,Yeezy Boost 350 V2 Black Red,Core Black/Core Black/Red ,220,2876,842,346
Adidas,Ultra Boost 4.0 Cookies and Cream,Footwear White/Footwear White/Grey Two ,200,2845,232,20
Adidas,Ultra Boost 4.0 Core Black,Core Black/Core Black/Core Black ,180,2716,147,-28
Adidas,NMD R1 Japan Triple Black,Core Black/Core Black/Core Black ,180,2624,248,42
Adidas,Human Race NMD Pharrell Oreo,Core Black/Footwear White/Footwear White ,240,2623,515,50
Adidas,Human Race NMD Pharrell Blank Canvas,Cream White/Running White/Running White ,250,2596,445,60
Adidas,Human Race NMD Pharrell Multi-Color,Noble Ink/Bold Yellow/Footwear White ,240,2502,404,19
Adidas,Human Race NMD Pharrell Pale Nude,Pale Nude/Core Black/Yellow ,240,2499,440,44
Adidas,Dame 4 A Bathing Ape Camo,Black/Green/Gum ,150,2047,323,97
Adidas,NMD Hu Pharrell Solar Pack Red,White/Black/Red ,250,1995,300,18
Adidas,Ultra Boost 5th Anniversary Black,Black/Iron ,220,1763,164,-39
Adidas,Ultra Boost 3.0 Triple White,White/White/White ,180,1760,162,5
Adidas,NMD R1 Neighborhood Core Black,Core Black/Footwear White/Core Black ,200,1747,299,75
Adidas,Ultra Boost 1.0 UNDFTD Black,Core Black/Core Black/Footwear White ,#NUM!,1442,289,#VALUE!
Adidas,Human Race NMD Pharrell Sun Glow,Sun Glow/Core Black/Equipment Yellow ,240,1663,422,2
Adidas,Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool,Chalk White/Footwear White/Chalk White ,200,1431,238,7
Adidas,Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,Vintage White/Chalk White/Clear Brown ,200,1410,149,-34
Adidas,NMD R1 Colour Static Rainbow,Core White/Multi-Color ,170,1405,184,32
Adidas,NMD R1 Tri Color Stripes Black,Core Black/White ,170,1194,269,17
Adidas,Ultra Boost 4.0 Chinese New Year (2018),Core Black/High Res Red/Grey Five ,180,1176,226,21
Adidas,COPA ACE 16+ Purecontrol Ultra Boost Kith Golden Goal,Multi-Color/White ,220,921,204,-18
Adidas,Yeezy Boost 750 Light Brown Gum (Chocolate),Light Brown/Light Brown/Gum ,350,722,737,111
Adidas,Ultra Boost 4.0 Triple White (W),Running White/Running White/Running White ,180,261,143,-31
Adidas,Ultra Boost Uncaged White Tint,Footwear White/White Tint/Core Black ,180,336,104,-52
Adidas,Yung-1 Hi-Res Orange,Hi-Res Orange/Hi-Res Orange/Shock Yellow ,130,1060,138,-19
Adidas,Ultra Boost Clima Solar Yellow,Cloud White/Cloud White/Solar Yellow ,200,552,117,-55
Adidas,Ultra Boost 4.0 Core Black (W),Core Black/Core Black/Core Black ,180,178,135,-30
Adidas,Ultra Boost 4.0 Parley Running White,Running White/Silver Metallic/Running White ,200,158,137,-25
Adidas,Solar Hu Glide White,Footwear White/Core Black/Bold Green ,150,266,227,17
Adidas,EQT Support 93/17 Red Carpet Pack Black,Core Black/Core Black/Core Black ,190,305,109,-76
Adidas,Ultra Boost 4.0 Parley Carbon Blue Spirit,Footwear White/Carbon/Blue Spirit ,180,448,135,-34
Adidas,Ultra Boost Uncaged Grey Two,Grey Two/Grey Two/Grey Four ,180,133,98,-53
Adidas,Sobakov Black White Gum,Core Black/Footwear White/Gum 3 ,140,365,106,-38
Adidas,ACE 16+ Ultra Boost Triple White,Running White/Running White/Running White ,200,326,131,-37
Adidas,NMD R1 Sashiko White,Running White/Core Black/Running White ,170,866,111,-43
Adidas,Ultra Boost 4.0 Parley Carbon,Carbon Carbon/Blue Spirit ,200,1054,127,-46
Adidas,Ultra Boost 4.0 Grey Four,Grey Four/Grey Four/Running White ,180,478,163,-27
Adidas,Solar Hu Glide Pharrell Core Black (W),Core Black/Cloud White/Bright Cyan ,150,26,137,-27
Adidas,NMD R1 SNS Datamosh 2.0 Blue Night,Core Black/Blue Night/Core Blue ,179,49,188,-22
Adidas,NMD CS2 Core Black Red Solid,Core Black/Red Solid ,180,311,104,-61
Adidas,Yung-1 Triple Black,Core Black/Core Black/Carbon ,120,95,113,-29
Adidas,Ultra Boost ATR Mid Burgundy,Burgundy/Burgundy/Core Black ,240,261,148,-56
Adidas,Crazy BYW X Black White,Black/Black/White ,200,227,302,16
Adidas,NMD R1 Clear Pink (W),Clear Pink/Footwear White/Core Black ,130,46,91,-46
Adidas,Pharrell NMD HU China Pack Passion (Red),Red/White ,250,568,455,32
Adidas,EQT Support Adv Gucci,Utility Black/Light Scarlet/Core Green ,110,558,109,5
Adidas,NMD CS2 Primeknit Ronin Stripes,Collegiate Navy/Footwear White/Pale Nude ,180,532,139,-47
Adidas,NMD Racer Juice HK,Black/Black/White ,220,526,177,-48
Adidas,NMD R1 Triple Solar Red,Solar Red/Solar Red/Solar Red ,140,768,219,43
Adidas,I-5923 Black Boost,Core Black/Running White/Copper Metallic ,130,507,93,-46
Adidas,Iniki Runner Pride of the 70s USA,Off White/Collegiate Royal/Core Red ,130,467,144,-8
Adidas,Crazy BYW LVL 1 Black White,Core Black/Footwear White/Club Purple ,170,459,140,-49
Adidas,Tennis HU Pharrell Multi-Color,Multi-Color/Multi-Color ,130,445,111,-35
Adidas,Yeezy Boost 750 Triple Black,Black/Black-Black ,350,408,953,153
Adidas,EQT Support 93/17 White Royal,Footwear White/Royal/Core Black ,180,410,87,-61
Adidas,NMD CS1 Parley Blue Spirit,Core Black/Core Black/Blue Spirit ,220,400,115,-65
Adidas,NMD CS1 Gore-tex White,Core White/Core White/Core Black ,230,388,141,-30
Adidas,Ultra Boost 3.0 LGBT Pride,Core Black/Utility Black/Footwear White ,200,384,174,-25
Adidas,Ultra Boost Mid Run Thru Time,Blue/Blue/Footwear White ,200,384,218,8
Adidas,Dame 4 A Bathing Ape Black,Black/Grey/Black ,150,378,431,200
