Brand,Model,Color,Model Color,Retail_Price ($),Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price ($)
Adidas,adidas NMD CS1 Gore-tex White,White,Core White/Core White/Core Black ,230,11/17/17,388,-0.30,141
Adidas,adidas Ultra Boost 3.0 LGBT Pride,Black,Core Black/Utility Black/Footwear White ,200,6/1/17,384,-0.25,174
Adidas,adidas Ultra Boost Mid Run Thru Time,Blue,Blue/Blue/Footwear White ,200,7/19/17,384,0.08,218
Adidas,adidas Dame 4 A Bathing Ape Black,Black,Black/Grey/Black ,150,2/16/18,378,2.00,431
Adidas,adidas ZX 500 Dragon Ball Z Son Goku,Orange,Orange/Collegiate Royal/Hi-Res Red ,170,9/29/18,1610,0.88,317
Adidas,adidas Yung-1 Dragon Ball Z Frieza,White,Cloud White/Unity Purple/Clear Lilac ,150,9/29/18,972,0.22,230
Adidas,adidas Ultra Boost 4.0 Breast Cancer Awareness,White,Cloud White/Core Black/Shock Pink ,180,9/1/18,1393,-0.22,163
Adidas,adidas NMD R1 Core Black Lush Red,Black,Core Black/Core Black/Lush Red ,150,9/6/18,618,-0.27,113
Adidas,adidas NMD R1 Duck Camo Core Black,Black,Core Black/Grey Four/Grey Five ,130,8/1/18,367,-0.54,96
Adidas,adidas NMD R1 STLT Triple Black,Black,Core Black/Utility Black/Solar Pink ,170,3/31/18,2003,-0.47,106
Adidas,adidas Ultra Boost 4.0 White Multi-Color,White,Cloud White/Cloud White/Collegiate Navy ,180,9/1/18,118,-0.34,138
Adidas,adidas NMD Hu Pharrell Solar Pack Orange,White,White/Black/Orange ,250,8/18/18,1287,-0.08,273
Adidas,adidas Ultra Boost 4 Show Your Stripes Black,Black,Core Black/Cloud White/Carbon ,180,1/11/18,714,-0.39,133
Adidas,adidas Ultra Boost 4.0 Black Multi-Color,Black,Core Black/Carbon/Ash Silver ,180,9/1/18,371,-0.39,121
Adidas,adidas NMD Hu Pharrell Solar Pack Mother,White,White/Pink/Yellow ,250,8/18/18,1618,-0.16,283
Adidas,adidas Ultra Boost 4.0 Show Your Stripes Cloud White,White,Cloud White/Tech Ink/Ash Pearl ,180,7/1/18,392,-0.25,140
Adidas,adidas Ultra Boost 4.0 Grey Two,Grey,Grey Two/Grey Two/Core Black ,180,11/17/17,1138,-0.36,146
Adidas,adidas Ultra Boost 4.0 Parley Legend Ink,Black,Legend Ink/Carbon/Blue Spirit ,180,6/27/18,805,-0.28,145
Adidas,adidas NMD TS1 Gore-Tex Triple Black,Black,Core Black/Core Black/Core Black ,230,9/6/18,290,-0.27,193
Adidas,adidas Ultra Boost Clima Core Black Solar Red,Black,Core Black/Core Black/Solar Red ,220,6/14/18,1402,-0.29,152
Adidas,adidas NMD R1 STLT Stealth Pack Core Black,Black,Core Black/Grey Two/Grey Five ,140,7/1/18,44,-0.57,63
Adidas,adidas NMD R1 Duck Camo Sesame,Tan,Sesame/Trace Cargo/Base Green ,130,8/1/18,412,-0.42,90
Adidas,adidas Solar Hu Glide Black,White,Footwear White/Core Black/Bold Green ,150,9/8/18,424,0.12,220
Adidas,adidas Solar Hu Glide Multi-Color,Multicolor,Multi-Color ,150,9/8/18,580,0.30,224
Adidas,adidas Yung-1 Collegiate Navy,White,Chalk White/Core Black/Collegiate Navy ,130,6/20/18,941,-0.15,134
Adidas,adidas Yung-1 Cloud White,White,Running White/Running White/Cloud White ,120,9/13/18,175,-0.08,126
Adidas,adidas NMD R1 Sesame Black,Tan,Sesame/Sesame/Off White ,140,8/1/18,147,-0.44,91
Adidas,adidas Ultra Boost 4.0 Tech Ink,Black,Tech Ink/Cloud White/Vapor Grey ,180,7/27/18,136,-0.33,128
Adidas,adidas Yeezy Boost 350 V2 Beluga,Grey,Steeple Gray/Beluga/Solar Red ,220,9/24/16,1526,2.27,829
Adidas,adidas Yeezy Boost 350 V2 Core Black White,Black,Core Black/Core White/Core Black ,220,12/17/16,1715,2.09,751
Adidas,adidas EQT Support 93/17 Triple Black,Black,Core Black/Core Black/Core Black ,180,11/24/17,1437,-0.36,130
Adidas,adidas Ultra Boost 2.0 White Reflective,White,White/White ,200,10/26/16,226,-0.01,218
Adidas,adidas Ultra Boost 2.0 Multi-Color,White,White/White/Red ,180,7/27/16,1261,0.15,243
Nike,Jordan 1 Retro High Satin Shattered Backboard (W),Black,Black/Black-Starfish-Sail ,160,5/5/18,10550,1.13,351
Nike,Jordan 3 Retro Hall of Fame,White,White/Fire Red-Cement Grey-Black ,190,5/12/18,5481,0.15,209
Nike,Jordan 1 Mid Black Cone,Black,Black/Cone-Light Bone ,110,9/15/18,70,0.05,119
Nike,Jordan 11 Retro UNC Win Like 82,White,White/University Blue-Midnight Navy ,220,11/11/17,7032,0.05,236
Nike,Jordan 7 Retro Low Taxi,Yellow,Taxi/Taxi-Black-White-Cardinal Red ,140,9/27/18,131,-0.07,149
Nike,Jordan 13 Retro Bred (2017),Black,Black/True Red-White ,190,8/19/17,3648,-0.05,194
Nike,Jordan 11 Retro Low Cool Grey,Grey,Medium Grey/White-Gunsmoke ,175,4/28/18,3436,0.02,178
Nike,Jordan 3 Retro Flyknit Black,Black,Black/Black-Anthracite ,200,8/15/18,1146,0.05,243
Nike,Jordan 11 Retro 72-10,Black,Black/Gym Red-White-Anthracite ,220,12/12/15,3560,0.10,285
Nike,Jordan 4 Retro White Cement (2016),White,White/Fire Red-Black-Tech Grey ,220,2/13/16,2517,0.56,300
Nike,Jordan 11 Retro Low Derek Jeter RE2PECT,Blue,Binary Blue/Binary Blue-Sail ,200,5/14/18,3601,-0.10,224
Nike,Jordan 11 Retro Low Rose Gold (W),White,Sail/Metallic Red Bronze-Gum Medium Brown ,175,4/13/18,1654,0.09,195
Nike,Jordan 12 Retro French Blue (2016),White,White/French Blue-Metallic Silver-Varsity Red ,190,4/2/16,989,0.32,235
Nike,Jordan 9 Retro Bred Patent,Black,Black/University Red-Anthracite ,190,3/10/18,4208,0.05,224
Nike,Jordan 1 Retro High Game Royal (GS),Blue,Game Royal/Black-Summit White ,120,3/24/18,4380,1.94,163
Nike,"Jordan 1 Retro Bred ""Banned"" (2016)""",Black,Black/Varsity Red-White ,160,9/3/16,2964,1.64,440
Nike,Nike Blazer Mid Off-White All Hallow's Eve,Tan,Canvas/Total Orange-Pale Vanilla-Black ,130,10/3/18,1903,3.94,673
Nike,Nike Blazer Mid Off-White Grim Reaper,Black,Black/White-Cone-Black ,130,10/3/18,1666,3.27,615
Nike,Air Presto Mid Acronym Racer Pink,Pink,Racer Pink/Black-Photo Blue-White ,200,9/20/18,3870,0.32,308
Nike,Air Presto Mid Acronym Cool Grey,Grey,Cool Grey/Black ,200,9/20/18,2263,0.10,249
Nike,Air Presto Mid Acronym Dynamic Yellow,White,White/Black-Dynamic Yellow ,200,9/20/18,2197,0.08,250
Nike,Air Force 1 Ultra Flyknit Low RKK New England Patriots (2018),Red,University Red/College Navy-White ,160,10/5/18,215,0.34,267
Nike,Nike React Element 87 Blue Chill Solar Red,Black,Black/Cool Grey-Blue Chill-Solar Red ,160,10/11/18,93,0.38,245
Nike,Nike Zoom Fly Undercover Gyakusou Black,Black,Black/Sail-Mineral Yellow-Black ,190,10/4/18,86,0.11,228
Nike,Nike Zoom Fly Undercover Gyakusou Blue,Blue,Blue Nebula/Sail-Black-University Red ,190,10/4/18,73,0.11,228
Nike,Air Force 1 Low Travis Scott Sail,White,Sail/Sail-Gum Light Brown ,150,8/10/18,7452,0.47,302
Nike,Air Presto Off-White White (2018),White,White/Black-Cone ,160,8/3/18,5093,2.56,674
Nike,Air Force 1 Low White (2016),White,White/White ,90,1/1/16,1186,-0.11,80
Nike,Nike React Element 87 Knicks,Grey,Wolf Grey/Black-Thunder Blue ,160,10/11/18,51,0.22,213
Nike,LeBron 16 1 Thru 5 (What The),Multicolor,Multi-Color/Multi-Color ,200,9/15/18,1429,0.94,317
Nike,Air Presto Off-White Black (2018),Black,Black/White-Cone ,160,7/27/18,5666,3.69,743
Nike,Nike React Element 55 Black Aurora Green,Black,Black/Aurora Green-Cool Grey ,130,9/29/18,329,-0.08,151
Nike,Nike React Element 87 Undercover Green Mist,Green,Green Mist/Linen-Summit White ,180,9/13/18,690,1.31,391
Nike,LeBron 16 Fresh Bred,Black,Black/Black-University Red ,185,9/20/18,387,-0.28,163
Nike,Nike SB Dunk High Humidity,Yellow,Metallic Gold/Metallic Gold-Black ,110,9/22/18,1086,0.71,213
Nike,Nike Zoom Fly Undercover Gyakusou Ink,Black,Ink/Sail-Dark Grey-Black ,190,10/4/18,41,-0.05,216
Nike,Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only),Blue,Light Blue Fury/Lemon Wash ,160,3/26/18,8648,2.75,570
Nike,Air Foamposite One Denim,Black,Obsidian/Black-University Red ,230,9/28/18,349,-0.09,183
Nike,Nike React Element 87 Undercover Volt,Green,Volt/University Red-Black-White ,180,9/13/18,706,0.33,328
Nike,Nike React Element 87 Undercover Light Beige Chalk,Tan,Light Biege Chalk/Signal Blue ,180,9/13/18,645,0.56,311
Nike,Nike Zoom VaporFly 4% Flyknit Bright Crimson,Red,Bright Crimson/Ice Blue-Total Crimson ,250,10/4/18,181,0.20,354
Nike,Nike React Element 87 Sail Light Bone,White,Sail/Light Bone-White-Rush Orange ,160,7/13/18,4688,1.38,363
Nike,Nike Zoom Fly Mercurial Off-White Total Orange,Orange,Total Orange/White-Volt ,200,6/14/18,1989,0.30,298
Nike,Air Force 1 Low Utility White Black,White,White/White-Black-Tour Yellow ,100,10/1/18,49,0.20,119
Nike,Air Force 1 Foamposite Cup Triple Black,Black,Black/Black-Black ,200,2/3/18,697,-0.63,105
Nike,Nike React Element 87 Black Neptune Green,Black,Black/Midnight Navy-Neptune Green ,160,10/11/18,28,0.31,219
