Model,Color,Model Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas NMD R1 STLT Triple Black,Black,Core Black/Utility Black/Solar Pink ,$170 ,3/31/18,2003,-47.10%,$106 
adidas Ultra Boost 4.0 White Multi-Color,White,Cloud White/Cloud White/Collegiate Navy ,$180 ,9/1/18,118,-33.90%,$138 
adidas NMD Hu Pharrell Solar Pack Orange,White,White/Black/Orange ,$250 ,8/18/18,1287,-8.00%,$273 
adidas Ultra Boost 4 Show Your Stripes Black,Black,Core Black/Cloud White/Carbon ,$180 ,1/11/18,714,-38.90%,$133 
adidas Ultra Boost 4.0 Black Multi-Color,Black,Core Black/Carbon/Ash Silver ,$180 ,9/1/18,371,-38.90%,$121 
adidas NMD Hu Pharrell Solar Pack Mother,White,White/Pink/Yellow ,$250 ,8/18/18,1618,-16.00%,$283 
adidas Ultra Boost 4.0 Show Your Stripes Cloud White,White,Cloud White/Tech Ink/Ash Pearl ,$180 ,7/1/18,392,-25.00%,$140 
adidas Ultra Boost 4.0 Grey Two,Grey,Grey Two/Grey Two/Core Black ,$180 ,11/17/17,1138,-36.10%,$146 
adidas Ultra Boost 4.0 Parley Legend Ink,Black,Legend Ink/Carbon/Blue Spirit ,$180 ,6/27/18,805,-28.30%,$145 
adidas NMD TS1 Gore-Tex Triple Black,Black,Core Black/Core Black/Core Black ,$230 ,9/6/18,290,-26.50%,$193 
adidas Ultra Boost Clima Core Black Solar Red,Black,Core Black/Core Black/Solar Red ,$220 ,6/14/18,1402,-29.10%,$152 
adidas NMD R1 STLT Stealth Pack Core Black,Black,Core Black/Grey Two/Grey Five ,$140 ,7/1/18,44,-57.10%,$63 
adidas NMD R1 Duck Camo Sesame,Tan,Sesame/Trace Cargo/Base Green ,$130 ,8/1/18,412,-42.30%,$90 
adidas Solar Hu Glide Black,White,Footwear White/Core Black/Bold Green ,$150 ,9/8/18,424,12.00%,$220 
adidas Solar Hu Glide Multi-Color,Multicolor,Multi-Color ,$150 ,9/8/18,580,30.00%,$224 
adidas Yung-1 Collegiate Navy,White,Chalk White/Core Black/Collegiate Navy ,$130 ,6/20/18,941,-14.60%,$134 
adidas Yung-1 Cloud White,White,Running White/Running White/Cloud White ,$120 ,9/13/18,175,-8.30%,$126 
adidas NMD R1 Sesame Black,Tan,Sesame/Sesame/Off White ,$140 ,8/1/18,147,-44.30%,$91 
adidas Ultra Boost 4.0 Tech Ink,Black,Tech Ink/Cloud White/Vapor Grey ,$180 ,7/27/18,136,-33.30%,$128 
adidas Yeezy Boost 350 V2 Beluga,Grey,Steeple Gray/Beluga/Solar Red ,$220 ,9/24/16,1526,227.30%,$829 
adidas Yeezy Boost 350 V2 Core Black White,Black,Core Black/Core White/Core Black ,$220 ,12/17/16,1715,209.10%,$751 
adidas EQT Support 93/17 Triple Black,Black,Core Black/Core Black/Core Black ,$180 ,11/24/17,1437,-36.10%,$130 
adidas Ultra Boost 2.0 White Reflective,White,White/White ,$200 ,10/26/16,226,-0.50%,$218 
adidas Ultra Boost 2.0 Multi-Color,White,White/White/Red ,$180 ,7/27/16,1261,15.00%,$243 
